name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,GW
Joe Gomez,DEF,Liverpool,3.4,0,0,0,0,0.0,322,1
Dominic Calvert-Lewin,FWD,Everton,2.0,0,0,5,0,1.8,220,1
Yerson Mosquera,DEF,Wolves,0.0,0,0,8,0,14.9,558,1
Konstantinos Tsimikas,DEF,Liverpool,3.4,0,0,3,0,1.2,337,1
Christian Nørgaard,MID,Brentford,1.6,0,0,15,0,12.3,101,1
Emiliano Martínez Romero,GK,Aston Villa,3.1,0,0,11,0,0.0,47,1
Declan Rice,MID,Arsenal,3.3,0,0,9,1,13.4,16,1
Dejan Kulusevski,MID,Spurs,2.8,0,0,0,0,1.3,492,1
Pascal Groß,MID,Brighton,0.0,0,0,0,0,0.0,125,1
Gabriel dos Santos Magalhães,DEF,Arsenal,4.2,0,0,22,1,1.4,3,1
Cody Gakpo,FWD,Liverpool,3.4,0,0,-1,0,1.8,321,1
Mohammed Kudus,MID,West Ham,2.3,0,0,11,0,27.5,525,1
Benicio Baker-Boaitey,MID,Brighton,0.0,0,0,0,0,0.0,114,1
Vitaly Janelt,MID,Brentford,1.6,0,0,10,0,15.1,94,1
Adama Traoré,MID,Fulham,1.6,0,0,5,1,3.8,239,1
Alexis Mac Allister,MID,Liverpool,3.3,0,0,7,1,9.3,329,1
Endo Wataru,MID,Liverpool,2.6,0,0,0,0,0.0,320,1
João Pedro Ferreira Silva,MID,Nott'm Forest,2.2,0,0,0,0,0.0,596,1
Ashley Phillips,DEF,Spurs,1.5,0,0,0,0,0.0,478,1
Keane Lewis-Potter,MID,Brentford,1.6,0,0,4,0,0.5,98,1
Ben Johnson,DEF,Ipswich,0.0,0,0,-5,0,0.0,275,1
Michael Golding,MID,Leicester,0.5,0,0,0,0,0.0,292,1
Remi Matthews,GK,Crystal Palace,1.0,0,0,0,0,0.0,209,1
Alfie Gilchrist,DEF,Chelsea,0.0,0,0,0,0,0.0,170,1
Nayef Aguerd,DEF,West Ham,1.9,0,0,0,0,0.0,529,1
